Date,Population
01/06/2016,6173172
01/09/2016,6205852
01/12/2016,6235781
01/03/2017,6278555
01/06/2017,6302608
01/09/2017,6333514
01/12/2017,6358210
01/03/2018,6398586
01/06/2018,6423038
01/09/2018,6454976
01/12/2018,6479695
01/03/2019,6518716
01/06/2019,6537305
01/09/2019,6567898
01/12/2019,6590050
01/03/2020,6616636
01/06/2020,6615046
01/09/2020,6591437
01/12/2020,6567195
01/03/2021,6555302
01/06/2021,6547822
01/09/2021,6543116
01/12/2021,6555013
01/03/2022,6591580
01/06/2022,6615232
01/09/2022,6657690
01/12/2022,6700395
01/03/2023,6757251
01/06/2023,6797169
01/09/2023,6845666
01/12/2023,6881068
01/03/2024,6928534
01/06/2024,6950961
