recorddate,Melbourne Water Operational Sites,recycledwater_supplytype,volume_ML,ObjectId
6/29/2019 14:00,Western Treatment Plant,Onsite,19770,1
6/29/2019 14:00,Western Treatment Plant,Supply to Southern Rural Water,6431,2
6/29/2019 14:00,Western Treatment Plant,Supply to City West Water,452,3
6/29/2019 14:00,Eastern Treatment Plant,Onsite,9098,4
6/29/2019 14:00,Eastern Treatment Plant,Supply to Water Infrastructure Group,6099,5
6/29/2019 14:00,Eastern Treatment Plant,Supply to South East Water,1683,6
6/29/2018 14:00,Western Treatment Plant,Onsite,13254,7
6/29/2018 14:00,Western Treatment Plant,Supply to Southern Rural Water,6944,8
6/29/2018 14:00,Western Treatment Plant,Supply to City West Water,261,9
6/29/2018 14:00,Eastern Treatment Plant,Onsite,10259,10
6/29/2018 14:00,Eastern Treatment Plant,Supply to Water Infrastructure Group,5360,11
6/29/2018 14:00,Eastern Treatment Plant,Supply to South East Water,1655,12
6/29/2017 14:00,Western Treatment Plant,Onsite,12441,13
6/29/2017 14:00,Western Treatment Plant,Supply to Southern Rural Water,5170,14
6/29/2017 14:00,Western Treatment Plant,Supply to City West Water,376,15
6/29/2017 14:00,Eastern Treatment Plant,Onsite,10080,16
6/29/2017 14:00,Eastern Treatment Plant,Supply to Water Infrastructure Group,3921,17
6/29/2017 14:00,Eastern Treatment Plant,Supply to South East Water,1256,18
6/29/2016 14:00,Western Treatment Plant,Onsite,15661,19
6/29/2016 14:00,Western Treatment Plant,Supply to Southern Rural Water,5940,20
6/29/2016 14:00,Western Treatment Plant,Supply to City West Water,282,21
6/29/2016 14:00,Eastern Treatment Plant,Onsite,8791,22
6/29/2016 14:00,Eastern Treatment Plant,Supply to Water Infrastructure Group,6055,23
6/29/2016 14:00,Eastern Treatment Plant,Supply to South East Water,1568,24
6/29/2015 14:00,Western Treatment Plant,Onsite,10530,25
6/29/2015 14:00,Western Treatment Plant,Supply to Southern Rural Water,4021,26
6/29/2015 14:00,Western Treatment Plant,Supply to City West Water,316,27
6/29/2015 14:00,Eastern Treatment Plant,Onsite,8182,28
6/29/2015 14:00,Eastern Treatment Plant,Supply to Water Infrastructure Group,4362,29
6/29/2015 14:00,Eastern Treatment Plant,Supply to South East Water,1169,30
6/29/2014 14:00,Western Treatment Plant,Onsite,9401,31
6/29/2014 14:00,Western Treatment Plant,Supply to Southern Rural Water,2236,32
6/29/2014 14:00,Western Treatment Plant,Supply to City West Water,394,33
6/29/2014 14:00,Eastern Treatment Plant,Onsite,12250,34
6/29/2014 14:00,Eastern Treatment Plant,Supply to Water Infrastructure Group,4474,35
6/29/2014 14:00,Eastern Treatment Plant,Supply to South East Water,1162,36
6/29/2013 14:00,Western Treatment Plant,Onsite,8439,37
6/29/2013 14:00,Western Treatment Plant,Supply to Southern Rural Water,2376,38
6/29/2013 14:00,Western Treatment Plant,Supply to City West Water,266,39
6/29/2013 14:00,Eastern Treatment Plant,Onsite,14379,40
6/29/2013 14:00,Eastern Treatment Plant,Supply to Water Infrastructure Group,5767,41
6/29/2013 14:00,Eastern Treatment Plant,Supply to South East Water,1206,42
